UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,,
BURGLARY,201510575,05/30/2020,1544 PIEDMONT AVE NE @ANSLEY MALL,613,Piedmont Heights,F,33.79789,-84.37101,,
LARCENY-FROM VEHICLE,201510588,05/30/2020,1140 AUSTIN AVE NE,602,Inman Park,N,33.7621,-84.35035,,
AGG ASSAULT,201510634,05/30/2020,874 VERA ST SE,607,Ormewood Park,W,33.7348,-84.35895,,
BURGLARY,201510675,05/30/2020,1061 PONCE DE LEON AVE NE @PLAZA DRUGS,602,Poncey-Highland,N,33.77374,-84.35265,,
BURGLARY,201510713,05/30/2020,865 N HIGHLAND AVE NE,601,Virginia Highland,F,33.77822,-84.35225,,
BURGLARY,201510742,05/30/2020,1209 CAROLINE ST NE,609,Edgewood,O,33.75667,-84.34887,,
BURGLARY,201510760,05/30/2020,1544 PIEDMONT AVE NE,613,Piedmont Heights,F,33.79668,-84.36951,,
BURGLARY,201510794,05/30/2020,100 ROGERS ST NE,609,Kirkwood,O,33.75617,-84.32951,,
BURGLARY,201510879,05/30/2020,1529 PIEDMONT AVE NE,613,Morningside/Lenox Park,F,33.79634,-84.36956,,
BURGLARY,201511131,05/30/2020,1544 PIEDMONT AVE NE @ANSLEY MALL,613,Piedmont Heights,F,33.79789,-84.37101,,
LARCENY-FROM VEHICLE,201511447,05/30/2020,458 SEMINOLE AVE NE,602,Inman Park,N,33.76647,-84.35018,,
AUTO THEFT,201511777,05/30/2020,69 1ST AVE SE,611,Kirkwood,O,33.74992,-84.31153,,
BURGLARY,201510472,05/30/2020,280 ELIZABETH ST NE,602,Inman Park,N,33.76198,-84.35846,,
BURGLARY,201510575,05/30/2020,1544 PIEDMONT AVE NE @ANSLEY MALL,613,Piedmont Heights,F,33.79789,-84.37101,,
LARCENY-FROM VEHICLE,201510588,05/30/2020,1140 AUSTIN AVE NE,602,Inman Park,N,33.7621,-84.35035,,
AGG ASSAULT,201510634,05/30/2020,874 VERA ST SE,607,Ormewood Park,W,33.7348,-84.35895,,
BURGLARY,201510675,05/30/2020,1061 PONCE DE LEON AVE NE @PLAZA DRUGS,602,Poncey-Highland,N,33.77374,-84.35265,,
BURGLARY,201510713,05/30/2020,865 N HIGHLAND AVE NE,601,Virginia Highland,F,33.77822,-84.35225,,
BURGLARY,201510742,05/30/2020,1209 CAROLINE ST NE,609,Edgewood,O,33.75667,-84.34887,,
BURGLARY,201510760,05/30/2020,1544 PIEDMONT AVE NE,613,Piedmont Heights,F,33.79668,-84.36951,,
BURGLARY,201510794,05/30/2020,100 ROGERS ST NE,609,Kirkwood,O,33.75617,-84.32951,,
BURGLARY,201510879,05/30/2020,1529 PIEDMONT AVE NE,613,Morningside/Lenox Park,F,33.79634,-84.36956,,
BURGLARY,201511131,05/30/2020,1544 PIEDMONT AVE NE @ANSLEY MALL,613,Piedmont Heights,F,33.79789,-84.37101,,
LARCENY-FROM VEHICLE,201511447,05/30/2020,458 SEMINOLE AVE NE,602,Inman Park,N,33.76647,-84.35018,,
AUTO THEFT,201511777,05/30/2020,69 1ST AVE SE,611,Kirkwood,O,33.74992,-84.31153,,
BURGLARY,201510472,05/30/2020,280 ELIZABETH ST NE,602,Inman Park,N,33.76198,-84.35846,,
BURGLARY,201510575,05/30/2020,1544 PIEDMONT AVE NE @ANSLEY MALL,613,Piedmont Heights,F,33.79789,-84.37101,,
LARCENY-FROM VEHICLE,201510588,05/30/2020,1140 AUSTIN AVE NE,602,Inman Park,N,33.7621,-84.35035,,
AGG ASSAULT,201510634,05/30/2020,874 VERA ST SE,607,Ormewood Park,W,33.7348,-84.35895,,
BURGLARY,201510675,05/30/2020,1061 PONCE DE LEON AVE NE @PLAZA DRUGS,602,Poncey-Highland,N,33.77374,-84.35265,,
BURGLARY,201510713,05/30/2020,865 N HIGHLAND AVE NE,601,Virginia Highland,F,33.77822,-84.35225,,
BURGLARY,201510742,05/30/2020,1209 CAROLINE ST NE,609,Edgewood,O,33.75667,-84.34887,,
BURGLARY,201510760,05/30/2020,1544 PIEDMONT AVE NE,613,Piedmont Heights,F,33.79668,-84.36951,,
BURGLARY,201510794,05/30/2020,100 ROGERS ST NE,609,Kirkwood,O,33.75617,-84.32951,,
BURGLARY,201510879,05/30/2020,1529 PIEDMONT AVE NE,613,Morningside/Lenox Park,F,33.79634,-84.36956,,
BURGLARY,201511131,05/30/2020,1544 PIEDMONT AVE NE @ANSLEY MALL,613,Piedmont Heights,F,33.79789,-84.37101,,
LARCENY-FROM VEHICLE,201511447,05/30/2020,458 SEMINOLE AVE NE,602,Inman Park,N,33.76647,-84.35018,,
AUTO THEFT,201511777,05/30/2020,69 1ST AVE SE,611,Kirkwood,O,33.74992,-84.31153,,
BURGLARY,201510472,05/30/2020,280 ELIZABETH ST NE,602,Inman Park,N,33.76198,-84.35846,,
BURGLARY,201510575,05/30/2020,1544 PIEDMONT AVE NE @ANSLEY MALL,613,Piedmont Heights,F,33.79789,-84.37101,,
LARCENY-FROM VEHICLE,201510588,05/30/2020,1140 AUSTIN AVE NE,602,Inman Park,N,33.7621,-84.35035,,
AGG ASSAULT,201510634,05/30/2020,874 VERA ST SE,607,Ormewood Park,W,33.7348,-84.35895,,
BURGLARY,201510675,05/30/2020,1061 PONCE DE LEON AVE NE @PLAZA DRUGS,602,Poncey-Highland,N,33.77374,-84.35265,,
BURGLARY,201510713,05/30/2020,865 N HIGHLAND AVE NE,601,Virginia Highland,F,33.77822,-84.35225,,
BURGLARY,201510742,05/30/2020,1209 CAROLINE ST NE,609,Edgewood,O,33.75667,-84.34887,,
BURGLARY,201510760,05/30/2020,1544 PIEDMONT AVE NE,613,Piedmont Heights,F,33.79668,-84.36951,,
BURGLARY,201510794,05/30/2020,100 ROGERS ST NE,609,Kirkwood,O,33.75617,-84.32951,,
